sample	reference	predicted_accuracy	null_model_p0	null_model_p0_stdev	damage_model_p	damage_model_p_stdev	damage_model_pmin	damage_model_pmin_stdev	damage_model_pmax	damage_model_pmax_stdev	pvalue	qvalue	RMSE	nb_reads_aligned	coverage	reflen	CtoT-0	CtoT-1	CtoT-2	CtoT-3	CtoT-4	CtoT-5	CtoT-6	CtoT-7	CtoT-8	CtoT-9	CtoT-10	CtoT-11	CtoT-12	CtoT-13	CtoT-14	CtoT-15	CtoT-16	CtoT-17	CtoT-18	CtoT-19
LS-35	NODE_1560_length_26721_cov_21.6	0.479	0.004	0.001	0.751	1.706	0.004	0.001	0.004	0.004	1.000	1.000	0.003	3562	18.428	26721	0.002	0.002	0.004	0.012	0.002	0.007	0.003	0.002	0.002	0.000	0.007	0.002	0.002	0.005	0.004	0.007	0.011	0.000	0.000	0.007
LS-35	NODE_2047_length_22663_cov_11.0	0.373	0.003	0.001	0.039	0.722	0.001	0.010	0.003	0.003	0.161	1.000	0.004	1518	9.478	22663	0.000	0.007	0.000	0.005	0.000	0.011	0.000	0.000	0.012	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.005
LS-35	NODE_529_length_47577_cov_106.7	0.939	0.002	0.000	0.990	6.360	0.002	0.000	0.002	0.001	1.000	1.000	0.001	30874	91.826	47577	0.002	0.002	0.001	0.002	0.003	0.003	0.002	0.003	0.001	0.002	0.002	0.001	0.002	0.001	0.001	0.004	0.001	0.002	0.003	0.003
LS-35	NODE_61243_length_3545_cov_10.8	0.274	0.018	0.004	0.000	0.011	0.011	0.020	0.020	0.009	0.430	1.000	0.019	247	9.387	3545	0.000	0.043	0.029	0.000	0.000	0.000	0.000	0.032	0.026	0.034	0.059	0.030	0.038	0.000	0.034	0.000	0.000	0.028	0.000	0.000
LS-35	NODE_77772_length_3106_cov_16.1	0.290	0.011	0.002	0.682	1.247	0.011	0.003	0.019	0.011	0.788	1.000	0.011	311	13.772	3106	0.017	0.023	0.000	0.000	0.016	0.019	0.000	0.000	0.000	0.000	0.021	0.019	0.031	0.019	0.016	0.020	0.023	0.000	0.000	0.000
LS-35	NODE_18673_length_6756_cov_22.0	0.317	0.011	0.003	0.434	0.582	0.012	0.003	0.012	0.011	1.000	1.000	0.011	946	18.174	6756	0.000	0.000	0.000	0.016	0.008	0.026	0.016	0.026	0.016	0.009	0.009	0.000	0.008	0.040	0.000	0.026	0.000	0.008	0.000	0.008
LS-35	NODE_3983_length_15554_cov_17.8	0.345	0.000	0.000	0.990	0.293	0.000	0.000	0.004	0.001	0.180	1.000	0.001	1654	15.188	15554	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_316_length_61014_cov_37.6	0.846	0.003	0.000	0.766	1.869	0.003	0.000	0.003	0.001	0.998	1.000	0.001	13811	32.079	61014	0.002	0.002	0.004	0.002	0.002	0.004	0.004	0.003	0.004	0.001	0.005	0.002	0.003	0.004	0.002	0.001	0.002	0.002	0.003	0.003
LS-35	NODE_20130_length_6482_cov_64.7	0.567	0.010	0.001	0.023	0.120	0.000	0.013	0.015	0.003	0.039	0.754	0.004	2491	54.534	6482	0.012	0.016	0.010	0.020	0.013	0.014	0.006	0.010	0.006	0.010	0.017	0.016	0.009	0.006	0.003	0.003	0.003	0.010	0.006	0.003
LS-35	NODE_65015_length_3428_cov_13.6	0.387	0.015	0.005	0.338	0.319	0.010	0.006	0.043	0.019	0.028	0.653	0.019	272	11.288	3428	0.023	0.077	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.030	0.030	0.000	0.000	0.000	0.020	0.000	0.000	0.041	0.029	0.000
LS-35	NODE_32843_length_4979_cov_10.9	0.424	0.015	0.004	0.376	0.188	0.009	0.004	0.050	0.012	0.027	0.653	0.012	339	9.312	4979	0.042	0.054	0.018	0.018	0.000	0.037	0.000	0.000	0.000	0.019	0.021	0.000	0.000	0.000	0.000	0.033	0.020	0.017	0.000	0.017
LS-35	NODE_50381_length_3944_cov_12.8	0.344	0.015	0.004	0.109	0.162	0.003	0.016	0.033	0.011	0.022	0.613	0.014	324	11.158	3944	0.024	0.028	0.026	0.056	0.000	0.023	0.023	0.032	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.030
LS-35	NODE_9843_length_9540_cov_12.8	0.329	0.011	0.004	0.042	0.338	0.000	0.039	0.019	0.011	0.021	0.613	0.015	722	10.525	9540	0.000	0.018	0.049	0.000	0.000	0.037	0.000	0.043	0.017	0.000	0.000	0.000	0.000	0.000	0.015	0.014	0.023	0.000	0.000	0.000
LS-35	NODE_80679_length_3042_cov_11.9	0.428	0.017	0.007	0.345	0.378	0.011	0.010	0.054	0.029	0.016	0.581	0.029	217	9.929	3042	0.031	0.105	0.000	0.000	0.000	0.000	0.091	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.059	0.000	0.029	0.000	0.000
LS-35	NODE_922_length_36603_cov_23.3	0.591	0.001	0.000	0.990	0.168	0.000	0.000	0.004	0.001	0.017	0.581	0.001	5128	19.922	36603	0.004	0.000	0.000	0.000	0.001	0.000	0.000	0.001	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.001
LS-35	NODE_9573_length_9688_cov_9.8	0.317	0.011	0.003	0.033	0.336	0.000	0.042	0.019	0.010	0.013	0.576	0.014	573	8.314	9688	0.000	0.035	0.052	0.000	0.000	0.000	0.017	0.000	0.025	0.015	0.000	0.016	0.035	0.017	0.000	0.000	0.018	0.000	0.000	0.000
LS-35	NODE_7399_length_11118_cov_9.5	0.335	0.002	0.001	0.517	0.150	0.001	0.001	0.020	0.004	0.010	0.522	0.004	652	8.349	11118	0.018	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_1161_length_31798_cov_11.3	0.486	0.003	0.001	0.111	0.160	0.000	0.003	0.007	0.002	0.007	0.405	0.003	2093	9.388	31798	0.006	0.011	0.004	0.000	0.005	0.000	0.005	0.000	0.005	0.000	0.005	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_11653_length_8717_cov_23.0	0.410	0.018	0.003	0.012	0.248	0.000	0.051	0.026	0.009	0.004	0.318	0.013	1219	19.499	8717	0.019	0.053	0.016	0.033	0.000	0.000	0.024	0.014	0.023	0.040	0.016	0.008	0.029	0.024	0.022	0.000	0.023	0.000	0.007	0.008
LS-35	NODE_7512_length_11037_cov_13.9	0.332	0.003	0.002	0.376	0.268	0.001	0.002	0.015	0.006	0.003	0.288	0.006	919	11.782	11037	0.008	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.009	0.000	0.000	0.009	0.000	0.000	0.000	0.000
LS-35	NODE_43236_length_4286_cov_21.7	0.380	0.026	0.004	0.990	4.446	0.026	0.005	0.031	0.021	0.966	1.000	0.019	569	17.980	4286	0.031	0.015	0.027	0.043	0.036	0.011	0.027	0.012	0.080	0.061	0.039	0.012	0.014	0.029	0.000	0.025	0.000	0.012	0.013	0.036
LS-35	NODE_25080_length_5764_cov_33.1	0.409	0.019	0.002	0.990	0.800	0.020	0.002	0.020	0.010	0.987	1.000	0.009	1241	28.321	5764	0.007	0.021	0.018	0.015	0.021	0.006	0.013	0.033	0.025	0.012	0.007	0.012	0.013	0.039	0.035	0.025	0.026	0.025	0.007	0.020
LS-35	NODE_52738_length_3847_cov_44.5	0.415	0.011	0.003	0.450	0.712	0.012	0.004	0.012	0.013	1.000	1.000	0.013	1074	38.285	3847	0.000	0.010	0.000	0.000	0.028	0.014	0.019	0.008	0.039	0.009	0.000	0.000	0.000	0.008	0.008	0.008	0.038	0.031	0.000	0.000
LS-35	NODE_33768_length_4903_cov_8.1	0.197	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	231	6.630	4903	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_280_length_66507_cov_42.2	0.880	0.000	0.000	0.583	0.316	0.000	0.000	0.001	0.000	0.036	0.754	0.000	16841	35.845	66507	0.001	0.001	0.000	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.001	0.000	0.001	0.001	0.000
LS-35	NODE_9920_length_9505_cov_17.1	0.348	0.009	0.002	0.904	0.914	0.008	0.002	0.018	0.009	0.673	1.000	0.008	1006	14.533	9505	0.018	0.009	0.009	0.000	0.009	0.000	0.024	0.017	0.017	0.000	0.009	0.016	0.018	0.000	0.000	0.000	0.008	0.000	0.000	0.023
LS-35	NODE_8818_length_10114_cov_11.5	0.274	0.005	0.002	0.318	0.732	0.006	0.003	0.006	0.008	1.000	1.000	0.009	697	9.790	10114	0.000	0.000	0.000	0.009	0.010	0.000	0.000	0.000	0.009	0.000	0.034	0.000	0.009	0.011	0.000	0.000	0.019	0.000	0.000	0.000
LS-35	NODE_25745_length_5676_cov_9.6	0.210	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	326	8.208	5676	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_2531_length_19945_cov_14.8	0.399	0.007	0.001	0.990	1.622	0.007	0.001	0.010	0.005	0.833	1.000	0.005	1775	12.484	19945	0.010	0.000	0.003	0.006	0.000	0.003	0.003	0.011	0.009	0.010	0.010	0.011	0.017	0.004	0.003	0.007	0.016	0.007	0.007	0.000
LS-35	NODE_4_length_265159_cov_16.6	1.000	0.001	0.000	0.254	0.571	0.001	0.000	0.001	0.000	1.000	1.000	0.000	26311	14.149	265159	0.001	0.001	0.000	0.001	0.000	0.001	0.002	0.000	0.001	0.000	0.000	0.001	0.001	0.001	0.001	0.001	0.000	0.001	0.001	0.001
LS-35	NODE_8335_length_10435_cov_15.9	0.340	0.008	0.002	0.491	0.529	0.007	0.002	0.016	0.007	0.519	1.000	0.006	1025	13.320	10435	0.016	0.011	0.008	0.007	0.008	0.008	0.008	0.000	0.023	0.000	0.000	0.009	0.007	0.000	0.018	0.008	0.000	0.000	0.017	0.000
LS-35	NODE_22701_length_6087_cov_8.3	0.212	0.001	0.001	0.298	1.733	0.001	0.002	0.001	0.005	0.988	1.000	0.005	316	7.352	6087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_81063_length_3034_cov_11.7	0.201	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	220	10.364	3034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_360_length_57765_cov_14.0	0.731	0.001	0.000	0.397	0.650	0.001	0.000	0.002	0.001	0.547	1.000	0.001	4867	11.991	57765	0.002	0.002	0.001	0.002	0.000	0.001	0.000	0.000	0.000	0.003	0.002	0.000	0.000	0.000	0.001	0.002	0.002	0.000	0.000	0.003
LS-35	NODE_14012_length_7886_cov_8.9	0.226	0.001	0.001	0.510	3.023	0.001	0.002	0.001	0.006	1.000	1.000	0.005	431	7.619	7886	0.000	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_69511_length_3308_cov_9.6	0.202	0.002	0.002	0.298	1.733	0.003	0.004	0.003	0.010	1.000	1.000	0.010	191	7.965	3308	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_69091_length_3319_cov_9.4	0.339	0.020	0.006	0.990	1.623	0.019	0.007	0.037	0.028	0.814	1.000	0.026	217	8.393	3319	0.037	0.000	0.000	0.032	0.000	0.000	0.000	0.069	0.059	0.067	0.050	0.000	0.000	0.000	0.000	0.000	0.045	0.000	0.043	0.000
LS-35	NODE_61559_length_3534_cov_11.1	0.244	0.011	0.005	0.692	1.650	0.012	0.006	0.012	0.022	1.000	1.000	0.021	248	9.660	3534	0.000	0.000	0.000	0.071	0.000	0.000	0.040	0.000	0.000	0.000	0.043	0.000	0.000	0.000	0.030	0.040	0.000	0.000	0.000	0.000
LS-35	NODE_12438_length_8410_cov_12.6	0.274	0.007	0.003	0.696	1.753	0.008	0.004	0.008	0.015	1.000	1.000	0.014	644	10.977	8410	0.000	0.000	0.000	0.024	0.052	0.010	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.034	0.000	0.000	0.000
LS-35	NODE_36112_length_4723_cov_10.4	0.308	0.017	0.004	0.000	0.000	0.026	0.018	0.026	0.008	1.000	1.000	0.019	311	9.137	4723	0.000	0.040	0.022	0.000	0.024	0.027	0.025	0.000	0.000	0.028	0.000	0.000	0.000	0.026	0.000	0.054	0.000	0.027	0.026	0.033
LS-35	NODE_4789_length_13991_cov_11.3	0.336	0.009	0.002	0.990	2.322	0.009	0.002	0.013	0.009	0.885	1.000	0.009	964	9.421	13991	0.013	0.000	0.008	0.008	0.008	0.018	0.014	0.007	0.008	0.008	0.007	0.008	0.000	0.015	0.008	0.038	0.014	0.000	0.000	0.000
LS-35	NODE_53584_length_3814_cov_6.5	0.197	0.003	0.003	0.721	4.051	0.003	0.003	0.003	0.012	1.000	1.000	0.011	160	5.963	3814	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_37184_length_4648_cov_8.4	0.199	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	240	7.294	4648	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_38540_length_4558_cov_24.5	0.292	0.007	0.002	0.616	1.120	0.008	0.003	0.008	0.011	1.000	1.000	0.010	657	20.115	4558	0.000	0.000	0.011	0.000	0.037	0.000	0.000	0.000	0.000	0.010	0.025	0.010	0.000	0.023	0.000	0.010	0.011	0.000	0.012	0.000
LS-35	NODE_30573_length_5172_cov_10.0	0.232	0.006	0.003	0.601	1.614	0.007	0.004	0.007	0.014	1.000	1.000	0.013	326	8.588	5172	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.033	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.034	0.000	0.000	0.000
LS-35	NODE_27727_length_5453_cov_7.7	0.217	0.004	0.002	0.905	2.476	0.005	0.003	0.005	0.011	1.000	1.000	0.011	256	6.441	5453	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_23900_length_5918_cov_7.0	0.205	0.001	0.001	0.722	4.053	0.001	0.001	0.001	0.006	1.000	1.000	0.005	256	6.165	5918	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_685_length_42219_cov_44.4	0.740	0.002	0.000	0.523	0.448	0.002	0.000	0.002	0.001	1.000	1.000	0.001	11171	37.569	42219	0.001	0.000	0.001	0.003	0.003	0.002	0.002	0.001	0.002	0.002	0.002	0.003	0.002	0.002	0.003	0.002	0.002	0.002	0.002	0.002
LS-35	NODE_44257_length_4234_cov_8.0	0.194	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	212	6.980	4234	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_77987_length_3101_cov_18.6	0.428	0.019	0.004	0.000	0.248	0.046	0.081	0.046	0.011	1.000	1.000	0.033	370	15.755	3101	0.000	0.021	0.000	0.045	0.000	0.019	0.000	0.000	0.018	0.048	0.019	0.000	0.000	0.020	0.043	0.000	0.038	0.051	0.032	0.019
LS-35	NODE_60327_length_3573_cov_12.0	0.243	0.006	0.003	0.330	1.211	0.006	0.004	0.011	0.011	0.285	1.000	0.011	256	10.190	3573	0.000	0.036	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.026
LS-35	NODE_45312_length_4180_cov_6.7	0.237	0.011	0.004	0.231	0.543	0.014	0.008	0.014	0.016	1.000	1.000	0.019	181	5.764	4180	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.043	0.000	0.000	0.000	0.000	0.038	0.056	0.000	0.000	0.040	0.000	0.000	0.000
LS-35	NODE_47345_length_4081_cov_21.7	0.340	0.018	0.003	0.195	0.370	0.022	0.008	0.022	0.012	1.000	1.000	0.015	569	18.510	4081	0.016	0.000	0.016	0.000	0.015	0.030	0.014	0.016	0.016	0.043	0.016	0.000	0.039	0.049	0.000	0.016	0.034	0.015	0.000	0.031
LS-35	NODE_19394_length_6618_cov_17.1	0.266	0.002	0.001	0.253	0.572	0.001	0.002	0.005	0.004	0.120	1.000	0.004	690	14.501	6618	0.000	0.013	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013
LS-35	NODE_2717_length_19185_cov_19.6	0.466	0.016	0.001	0.990	2.300	0.016	0.002	0.019	0.007	0.931	1.000	0.006	2325	16.883	19185	0.019	0.005	0.019	0.008	0.008	0.011	0.024	0.013	0.012	0.024	0.020	0.028	0.008	0.016	0.016	0.020	0.016	0.016	0.028	0.015
LS-35	NODE_6466_length_11930_cov_10.8	0.261	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	767	9.155	11930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_5753_length_12702_cov_70.7	0.627	0.007	0.001	0.314	1.268	0.007	0.001	0.007	0.003	1.000	1.000	0.003	5489	60.095	12702	0.006	0.004	0.009	0.008	0.002	0.008	0.008	0.005	0.005	0.014	0.011	0.005	0.007	0.002	0.010	0.003	0.006	0.010	0.005	0.008
LS-35	NODE_13581_length_8014_cov_9.0	0.242	0.001	0.001	0.000	0.000	0.005	0.005	0.005	0.002	1.000	1.000	0.006	438	7.766	8014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000
LS-35	NODE_687_length_42156_cov_108.9	0.929	0.003	0.000	0.000	0.000	0.002	0.001	0.004	0.000	0.266	1.000	0.001	27435	92.268	42156	0.003	0.004	0.003	0.003	0.003	0.002	0.003	0.003	0.003	0.004	0.005	0.004	0.001	0.004	0.003	0.002	0.003	0.002	0.001	0.002
LS-35	NODE_21316_length_6290_cov_9.6	0.220	0.001	0.001	0.191	1.156	0.002	0.003	0.002	0.005	1.000	1.000	0.006	355	7.980	6290	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_10455_length_9224_cov_43.1	0.455	0.010	0.001	0.379	0.269	0.011	0.002	0.011	0.005	1.000	1.000	0.006	2389	36.771	9224	0.000	0.004	0.007	0.007	0.014	0.010	0.010	0.003	0.013	0.019	0.000	0.015	0.011	0.010	0.018	0.020	0.009	0.009	0.003	0.011
LS-35	NODE_33222_length_4949_cov_11.8	0.250	0.007	0.003	0.230	0.525	0.010	0.006	0.010	0.011	1.000	1.000	0.013	362	10.269	4949	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.031	0.031	0.000	0.000	0.000	0.026	0.032	0.029	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_40999_length_4409_cov_7.0	0.191	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	187	5.824	4409	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_15065_length_7590_cov_14.1	0.360	0.019	0.003	0.014	0.202	0.000	0.044	0.028	0.008	0.040	0.754	0.011	661	11.861	7590	0.010	0.025	0.033	0.037	0.021	0.030	0.009	0.048	0.018	0.000	0.032	0.018	0.020	0.009	0.018	0.009	0.000	0.017	0.019	0.000
LS-35	NODE_1616_length_26115_cov_11.3	0.430	0.005	0.001	0.035	0.346	0.001	0.015	0.007	0.004	0.049	0.768	0.005	1810	9.822	26115	0.005	0.006	0.000	0.021	0.006	0.005	0.006	0.000	0.005	0.000	0.000	0.006	0.011	0.005	0.000	0.000	0.012	0.000	0.005	0.000
LS-35	NODE_28583_length_5362_cov_8.5	0.209	0.002	0.002	0.721	4.051	0.002	0.002	0.002	0.008	0.993	1.000	0.008	263	7.071	5362	0.000	0.000	0.000	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-35	NODE_234_length_72039_cov_19.4	0.852	0.003	0.000	0.990	1.391	0.003	0.000	0.003	0.002	1.000	1.000	0.002	8451	16.658	72039	0.002	0.003	0.006	0.003	0.004	0.006	0.003	0.004	0.001	0.002	0.003	0.004	0.004	0.003	0.006	0.001	0.004	0.000	0.005	0.002
LS-35	NODE_2797_length_18890_cov_28.8	0.436	0.001	0.000	0.990	0.477	0.001	0.000	0.004	0.001	0.354	1.000	0.001	3252	24.201	18890	0.004	0.000	0.004	0.000	0.000	0.002	0.000	0.002	0.000	0.002	0.000	0.004	0.000	0.000	0.002	0.000	0.000	0.002	0.002	0.002
LS-35	NODE_17664_length_6957_cov_57.7	0.545	0.013	0.002	0.990	2.080	0.013	0.002	0.017	0.008	0.901	1.000	0.007	2538	48.978	6957	0.017	0.009	0.000	0.004	0.008	0.004	0.019	0.022	0.015	0.007	0.015	0.014	0.007	0.022	0.030	0.017	0.013	0.004	0.020	0.011
LS-35	NODE_8312_length_10447_cov_15.5	0.348	0.016	0.004	0.408	3.716	0.016	0.005	0.018	0.016	1.000	1.000	0.016	994	13.109	10447	0.008	0.043	0.009	0.008	0.018	0.018	0.009	0.009	0.000	0.009	0.015	0.000	0.000	0.018	0.008	0.000	0.026	0.023	0.031	0.067
LS-35	NODE_1243_length_30520_cov_37.0	0.605	0.002	0.000	0.222	0.329	0.002	0.001	0.004	0.001	0.145	1.000	0.002	6800	31.465	30520	0.003	0.005	0.002	0.003	0.004	0.003	0.000	0.003	0.002	0.003	0.003	0.000	0.001	0.001	0.002	0.004	0.001	0.001	0.000	0.006
