sample	ID	Region	Identity	Product	Organism
LS-65	NODE_3_length_576669_cov_32.3	BGC0000876: 71-9235	0.4567193232509079	['Other']	Streptomyces tendae
LS-65	NODE_3_length_576669_cov_32.3	BGC0000308: 0-7851	0.4826037655114908	['NRP']	Staphylococcus aureus subsp. aureus str. JKD6008
LS-65	NODE_3_length_576669_cov_32.3	BGC0002166: 0-8397	0.4398512367710438	['NRP']	Metarhizium rileyi
LS-65	NODE_3_length_576669_cov_32.3	BGC0001561: 0-17578	0.4748099273439222	['NRP']	Streptomyces curacoi
LS-65	NODE_3_length_576669_cov_32.3	BGC0001517: 8989-24405	0.43097317008931685	['NRP']	Aspergillus terreus NIH2624
LS-65	NODE_3_length_576669_cov_32.3	BGC0002270: 0-43845	0.5066702256394614	['NRP', 'Polyketide']	Metarhizium robertsii ARSEF 23
LS-65	NODE_3_length_576669_cov_32.3	BGC0001518: 0-23499	0.4115316700147884	['Terpene']	Aspergillus oryzae RIB40
LS-65	NODE_3_length_576669_cov_32.3	BGC0000921: 0-15706	0.431759428453798	['Other (Shikimate-derived)', 'Polyketide', 'NRP']	Pseudomonas putida
LS-65	NODE_3_length_576669_cov_32.3	BGC0001925: 0-20488	0.44211270367206834	['Alkaloid']	Streptomyces sp.
LS-65	NODE_3_length_576669_cov_32.3	BGC0002606: 0-21662	0.41900751571877853	['NRP', 'Polyketide']	Aspergillus niger
LS-65	NODE_3_length_576669_cov_32.3	BGC0001261: 987-14070	0.43947227253786675	['NRP']	Alternaria alternata
LS-65	NODE_3_length_576669_cov_32.3	BGC0001132: 0-12417	0.4581415557217131	['NRP']	Xenorhabdus nematophila ATCC 19061
LS-65	NODE_3_length_576669_cov_32.3	BGC0001909: 2476-67696	0.4154156066805986	['Polyketide']	Strobilurus tenacellus
LS-65	NODE_3_length_576669_cov_32.3	BGC0001717: 0-19662	0.40844897594432417	['NRP']	Penicillium simplicissimum
LS-65	NODE_3_length_576669_cov_32.3	BGC0002286: 0-16374	0.4627239818296946	['NRP']	Photorhabdus laumondii subsp. laumondii TTO1
LS-65	NODE_3_length_576669_cov_32.3	BGC0001050: 0-19730	0.429986236455852	['NRP', 'Polyketide']	Tistrella bauzanensis
LS-65	NODE_3_length_576669_cov_32.3	BGC0000404: 1968-56662	0.4609684222067722	['NRP']	Penicillium chrysogenum
LS-65	NODE_3_length_576669_cov_32.3	BGC0001128: 35-15686	0.4516910776306341	['NRP']	Photorhabdus laumondii subsp. laumondii TTO1
LS-65	NODE_3_length_576669_cov_32.3	BGC0001135: 0-16848	0.44731230422253565	['NRP']	Xenorhabdus budapestensis
LS-65	NODE_3_length_576669_cov_32.3	BGC0000044: 0-21257	0.4325428189463254	['Polyketide']	Stigmatella aurantiaca DW4/3-1
LS-65	NODE_3_length_576669_cov_32.3	BGC0002208: 764-29749	0.4484133992994814	['NRP']	Aspergillus ustus
LS-65	NODE_3_length_576669_cov_32.3	BGC0002264: 0-31488	0.4669051112223658	['NRP']	Aspergillus hancockii
LS-65	NODE_3_length_576669_cov_32.3	BGC0001544: 0-27727	0.4406073844828075	['NRP', 'Polyketide']	Aspergillus campestris IBT 28561
LS-65	NODE_3_length_576669_cov_32.3	BGC0000405: 0-57262	0.4609684222067722	['NRP']	Penicillium chrysogenum
LS-65	NODE_3_length_576669_cov_32.3	BGC0001527: 0-8170	0.47617230910600056	['Other']	Gelatoporia subvermispora
LS-65	NODE_3_length_576669_cov_32.3	BGC0002242: 982-22850	0.4325428189463254	['NRP']	Aspergillus ustus
LS-65	NODE_3_length_576669_cov_32.3	BGC0001641: 0-49104	0.45457428549253287	['NRP']	Photorhabdus laumondii subsp. laumondii TTO1
LS-65	NODE_3_length_576669_cov_32.3	BGC0002276: 0-3813	0.43756833296427666	['NRP']	Aspergillus nidulans FGSC A4
LS-65	NODE_3_length_576669_cov_32.3	BGC0000953: 1929-36192	0.43756833296427666	['Saccharide']	Streptomyces vinaceusdrappus
LS-65	NODE_3_length_576669_cov_32.3	BGC0001154: 0-16561	0.45564859885439096	['Other']	Catenulispora acidiphila DSM 44928
LS-65	NODE_3_length_576669_cov_32.3	BGC0001185: 0-11721	0.4693249282197253	['NRP']	Bacillus velezensis FZB42
LS-65	NODE_3_length_576669_cov_32.3	BGC0000971: 93-29897	0.4469442853000438	['NRP', 'Polyketide']	Streptomyces cinnabarigriseus
LS-65	NODE_3_length_576669_cov_32.3	BGC0002258: 213-24781	0.44098457850629286	['Polyketide']	Aspergillus stellatus
LS-65	NODE_3_length_576669_cov_32.3	BGC0001627: 0-10806	0.4623735320372376	['NRP']	Mycobacterium tuberculosis H37Rv
LS-65	NODE_3_length_576669_cov_32.3	BGC0000327: 0-29143	0.4469442853000438	['NRP']	Streptomyces ambofaciens ATCC 23877
LS-65	NODE_3_length_576669_cov_32.3	BGC0002238: 216-10949	0.43947227253786675	['Polyketide']	Aspergillus oryzae RIB40
LS-65	NODE_3_length_576669_cov_32.3	BGC0002716: 0-53197	0.4516910776306341	['NRP']	Photorhabdus laumondii subsp. laumondii
LS-65	NODE_3_length_576669_cov_32.3	BGC0001240: 0-28516	0.4241667329454437	['NRP']	Metarhizium robertsii
LS-65	NODE_3_length_576669_cov_32.3	BGC0002240: 96-11225	0.4360339095255409	['Polyketide']	Metarhizium anisopliae
LS-65	NODE_3_length_576669_cov_32.3	BGC0001400: 30-15436	0.4356486913303635	['Polyketide']	Aspergillus terreus NIH2624
LS-65	NODE_3_length_576669_cov_32.3	BGC0002429: 0-14296	0.4333233916573239	['Terpene', 'Polyketide']	Colletotrichum higginsianum IMI 349063
LS-65	NODE_9_length_414945_cov_32.1	BGC0000853: 8-3345	0.4249795215257659	['Other']	Streptomyces anulatus
LS-65	NODE_9_length_414945_cov_32.1	BGC0002052: 188-3620	0.4233505531312202	['Other (Ectoine)']	Streptomyces sp.
LS-65	NODE_9_length_414945_cov_32.1	BGC0002382: 465-15791	0.43756833296427666	['RiPP']	Grimontia marina
LS-65	NODE_9_length_414945_cov_32.1	BGC0002683: 0-14011	0.436802399719611	['Other']	Nostoc sp. PCC 7120 = FACHB-418
LS-65	NODE_9_length_414945_cov_32.1	BGC0001488: 0-13752	0.43448907485981697	['Other']	Pseudomonas fluorescens WH6
LS-65	NODE_9_length_414945_cov_32.1	BGC0002633: 0-11574	0.43018399288437476	['Other']	Leptolyngbya sp. PCC 7376
LS-65	NODE_9_length_414945_cov_32.1	BGC0001811: 32-25672	0.43448907485981697	['Terpene']	Fusarium asiaticum
LS-65	NODE_9_length_414945_cov_32.1	BGC0000930: 2573-28230	0.4305789495624038	['Terpene']	Fusarium graminearum
LS-65	NODE_9_length_414945_cov_32.1	BGC0001599: 0-9373	0.4305789495624038	['NRP']	Burkholderia cenocepacia H111
LS-65	NODE_9_length_414945_cov_32.1	BGC0000684: 369-21746	0.5	['Polyketide']	Aspergillus nidulans FGSC A4
LS-65	NODE_9_length_414945_cov_32.1	BGC0002470: 0-31112	0.43097317008931685	['Other']	Synechococcus sp. PCC 7002
LS-65	NODE_9_length_414945_cov_32.1	BGC0000663: 0-13757	0.43947227253786675	['Terpene']	Streptomyces coelicolor A3(2)
LS-65	NODE_9_length_414945_cov_32.1	BGC0002535: 1708-15164	0.4217077759677249	['NRP']	Streptomyces celluloflavus
LS-65	NODE_9_length_414945_cov_32.1	BGC0001151: 0-19936	0.43487627984853067	['Other (Non-NRP beta-lactam)']	Streptomyces antibioticus
LS-65	NODE_9_length_414945_cov_32.1	BGC0001608: 93-46817	0.43136666092021825	['NRP']	[Polyangium] brachysporum
LS-65	NODE_9_length_414945_cov_32.1	BGC0001277: 621-57840	0.431759428453798	['Terpene']	Fusarium graminearum
LS-65	NODE_9_length_414945_cov_32.1	BGC0002675: 0-20254	0.4329334544275063	['Polyketide']	Pseudoalteromonas rubra
LS-65	NODE_9_length_414945_cov_32.1	BGC0002167: 0-15099	0.4379503548003344	['NRP']	Aspergillus flavus NRRL3357
LS-65	NODE_9_length_414945_cov_32.1	BGC0000258: 2-24341	0.43871253664578047	['Polyketide']	Serratia sp.
LS-65	NODE_9_length_414945_cov_32.1	BGC0000895: 2-11180	0.4179584181749426	['Other']	Lactobacillus plantarum subsp. plantarum
LS-65	NODE_9_length_414945_cov_32.1	BGC0000259: 167-24834	0.4356486913303635	['Polyketide']	Serratia marcescens
LS-65	NODE_9_length_414945_cov_32.1	BGC0000905: 1-16359	0.4149882772311155	['Other']	Heliobacillus mobilis
LS-65	NODE_9_length_414945_cov_32.1	BGC0001716: 0-43441	0.4115316700147884	['NRP']	Xenorhabdus nematophila AN6/1
LS-65	NODE_9_length_414945_cov_32.1	BGC0000716: 435-27161	0.4289946405296747	['Saccharide']	Streptomyces netropsis
LS-65	NODE_9_length_414945_cov_32.1	BGC0001340: 1840-51432	0.4462067390357758	['Polyketide']	Byssochlamys fulva
LS-65	NODE_9_length_414945_cov_32.1	BGC0000715: 0-17984	0.44211270367206834	['Saccharide']	Streptomyces spectabilis
LS-65	NODE_9_length_414945_cov_32.1	BGC0000260: 853-35060	0.44323575087389755	['Polyketide']	Hahella chejuensis KCTC 2396
LS-65	NODE_9_length_414945_cov_32.1	BGC0001791: 0-30193	0.43136666092021825	['NRP']	Gynuella sunshinyii YC6258
LS-65	NODE_9_length_414945_cov_32.1	BGC0002492: 0-13803	0.41413051166570236	['NRP']	Myxococcus xanthus DK 1622
LS-65	NODE_9_length_414945_cov_32.1	BGC0000283: 143-45325	0.43410119582301154	['Other (Cyclitol)']	Actinomyces sp. Lu 9419
LS-65	NODE_9_length_414945_cov_32.1	BGC0000425: 19-69722	0.4305789495624038	['NRP']	Pseudomonas sp. CMR12a
LS-65	NODE_9_length_414945_cov_32.1	BGC0000723: 1114-36970	0.43871253664578047	['Other (Cyclitol)', 'Saccharide']	Streptomyces hygroscopicus subsp. limoneus
LS-65	NODE_9_length_414945_cov_32.1	BGC0002491: 0-17030	0.40977702529955856	['NRP']	Pseudoalteromonas piscicida
LS-65	NODE_9_length_414945_cov_32.1	BGC0000329: 485-21536	0.43410119582301154	['NRP']	Pseudomonas corrugata
LS-65	NODE_9_length_414945_cov_32.1	BGC0001987: 0-14689	0.4175370907392536	['Polyketide']	Pseudomonas koreensis
LS-65	NODE_9_length_414945_cov_32.1	BGC0001345: 193-19653	0.4192166202343247	['NRP']	Stigmatella aurantiaca Sg a15
LS-65	NODE_9_length_414945_cov_32.1	BGC0001711: 0-55238	0.4253846627454299	['NRP', 'Polyketide']	Burkholderia pyrrocinia
LS-65	NODE_9_length_414945_cov_32.1	BGC0000722: 1394-44423	0.43871253664578047	['Other (Cyclitol)', 'Saccharide']	Streptomyces hygroscopicus subsp. jinggangensis
LS-65	NODE_9_length_414945_cov_32.1	BGC0002556: 1223-41553	0.4379503548003344	['Alkaloid']	Streptomyces sp.
LS-65	NODE_9_length_414945_cov_32.1	BGC0002433: 0-61821	0.4257889783866138	['NRP']	Azotobacter vinelandii DJ
LS-65	NODE_9_length_414945_cov_32.1	BGC0001797: 0-22234	0.4325428189463254	['RiPP']	Streptomyces anulatus
LS-65	NODE_9_length_414945_cov_32.1	BGC0001902: 871-37015	0.5086744909202194	['NRP', 'Polyketide']	Myxococcus virescens
LS-65	NODE_9_length_414945_cov_32.1	BGC0002422: 0-43841	0.431759428453798	['NRP']	Pseudomonas thivervalensis
LS-65	NODE_9_length_414945_cov_32.1	BGC0001752: 0-39092	0.4289946405296747	['NRP']	Streptomyces sp. MBT76
LS-65	NODE_9_length_414945_cov_32.1	BGC0001387: 150-29437	0.40889282963454704	['Other']	Streptomyces calvus
LS-65	NODE_9_length_414945_cov_32.1	BGC0000330: 0-36362	0.4289946405296747	['NRP']	Cupriavidus necator H16
LS-65	NODE_9_length_414945_cov_32.1	BGC0002381: 1047-33939	0.4285966735399661	['Alkaloid', 'Polyketide']	Streptomyces albus subsp. albus
LS-65	NODE_9_length_414945_cov_32.1	BGC0000695: 0-47035	0.41626720554579544	['Saccharide']	Micromonospora olivasterospora
LS-65	NODE_9_length_414945_cov_32.1	BGC0000431: 0-54895	0.420881053711368	['NRP']	Streptomyces filamentosus NRRL 15998
LS-65	NODE_9_length_414945_cov_32.1	BGC0000700: 1-67903	0.4149882772311155	['Saccharide']	Streptomyces tenjimariensis
LS-65	NODE_10_length_410171_cov_31.8	BGC0001825: 0-14850	0.4379503548003344	['NRP']	Xenorhabdus nematophila AN6/1
LS-65	NODE_10_length_410171_cov_31.8	BGC0001132: 0-12417	0.4265951619267079	['NRP']	Xenorhabdus nematophila ATCC 19061
LS-65	NODE_13_length_364673_cov_31.7	BGC0000426: 0-11658	0.4531360982243906	['NRP']	Paenibacillus larvae
LS-65	NODE_13_length_364673_cov_31.7	BGC0001925: 0-20488	0.42699704415378664	['Alkaloid']	Streptomyces sp.
LS-65	NODE_13_length_364673_cov_31.7	BGC0000343: 1-6208	0.42005069033571446	['NRP']	Pseudomonas sp. J465
LS-65	NODE_13_length_364673_cov_31.7	BGC0000465: 0-10043	0.4449110961193498	['NRP']	Xenorhabdus nematophila ATCC 19061
LS-65	NODE_13_length_364673_cov_31.7	BGC0002071: 0-27266	0.4651682569966671	['NRP']	Pseudomonas sp. QS1027
LS-65	NODE_13_length_364673_cov_31.7	BGC0001629: 209-63961	0.4615545361247816	['NRP']	Pseudomonas sp. QS1027
LS-65	NODE_13_length_364673_cov_31.7	BGC0002164: 0-8322	0.529986080762946	['NRP']	Epichloe festucae
LS-65	NODE_13_length_364673_cov_31.7	BGC0001434: 0-14218	0.4533762635089436	['NRP']	Xenorhabdus budapestensis
LS-65	NODE_13_length_364673_cov_31.7	BGC0000331: 0-31215	0.45193240020746483	['NRP']	Planktothrix agardhii NIVA-CYA 116
LS-65	NODE_13_length_364673_cov_31.7	BGC0002710: 0-33332	0.5086744909202194	['NRP']	Metarhizium robertsii ARSEF 23
LS-65	NODE_13_length_364673_cov_31.7	BGC0001806: 0-60453	0.4873088609099962	['NRP']	Pseudomonas tolaasii
LS-65	NODE_13_length_364673_cov_31.7	BGC0000375: 0-9457	0.505668851737988	['NRP']	Streptomyces chromofuscus
LS-65	NODE_13_length_364673_cov_31.7	BGC0001517: 8989-24405	0.504334310174015	['NRP']	Aspergillus terreus NIH2624
LS-65	NODE_13_length_364673_cov_31.7	BGC0001843: 1025-58556	0.4524144586629455	['NRP']	Paenibacillus sp. M-152
LS-65	NODE_13_length_364673_cov_31.7	BGC0000423: 0-30020	0.5407956854432254	['NRP']	Streptomyces scabiei 87.22
LS-65	NODE_13_length_364673_cov_31.7	BGC0000901: 1761-23020	0.4948316773228172	['Other']	Aspergillus niger
LS-65	NODE_13_length_364673_cov_31.7	BGC0001251: 1268-15341	0.492995879638129	['NRP']	Epichloe festucae
LS-65	NODE_13_length_364673_cov_31.7	BGC0001250: 0-14073	0.492995879638129	['NRP']	Epichloe festucae
LS-65	NODE_13_length_364673_cov_31.7	BGC0000313: 0-33475	0.4919938474925315	['NRP']	Beauveria bassiana
LS-65	NODE_13_length_364673_cov_31.7	BGC0002688: 824-19983	0.4919938474925315	['NRP']	Planobispora rosea
LS-65	NODE_13_length_364673_cov_31.7	BGC0001166: 0-15624	0.49132550907978056	['NRP']	Alternaria jesenskae
LS-65	NODE_13_length_364673_cov_31.7	BGC0000307: 505-35485	0.4906568918232745	['NRP']	Aureobasidium pullulans
LS-65	NODE_13_length_364673_cov_31.7	BGC0001050: 0-19730	0.4364184770780596	['NRP', 'Polyketide']	Tistrella bauzanensis
LS-65	NODE_13_length_364673_cov_31.7	BGC0001240: 0-28516	0.4889839861252544	['NRP']	Metarhizium robertsii
LS-65	NODE_13_length_364673_cov_31.7	BGC0002437: 0-10596	0.4873088609099962	['NRP']	Thermoactinomyces sp. AS95
LS-65	NODE_13_length_364673_cov_31.7	BGC0002166: 0-8397	0.4859669318895449	['NRP']	Metarhizium rileyi
LS-65	NODE_13_length_364673_cov_31.7	BGC0000342: 1020-10416	0.4849593020239755	['NRP']	Fusarium equiseti
LS-65	NODE_13_length_364673_cov_31.7	BGC0000351: 1-24369	0.47905713097659114	['NRP']	Mycolicibacterium smegmatis MC2 155
LS-65	NODE_13_length_364673_cov_31.7	BGC0001758: 0-22977	0.48428694358842106	['NRP']	Paraburkholderia rhizoxinica HKI 454
LS-65	NODE_13_length_364673_cov_31.7	BGC0002518: 0-10561	0.479903161931926	['NRP']	Pseudomonas sp. SZ57
LS-65	NODE_13_length_364673_cov_31.7	BGC0002413: 0-22337	0.5110160138747456	['NRP']	Yersinia frederiksenii ATCC 33641
LS-65	NODE_13_length_364673_cov_31.7	BGC0001133: 0-25888	0.47787087132476846	['NRP']	Xenorhabdus bovienii SS-2004
LS-65	NODE_13_length_364673_cov_31.7	BGC0001249: 663-5994	0.47617230910600056	['NRP']	Alternaria alternata
LS-65	NODE_13_length_364673_cov_31.7	BGC0001135: 0-16848	0.47617230910600056	['NRP']	Xenorhabdus budapestensis
LS-65	NODE_13_length_364673_cov_31.7	BGC0001261: 987-14070	0.47378595378030286	['NRP']	Alternaria alternata
LS-65	NODE_13_length_364673_cov_31.7	BGC0001748: 0-18705	0.4400404952999427	['NRP', 'Polyketide']	Nostoc sp. CENA543
LS-65	NODE_13_length_364673_cov_31.7	BGC0001873: 0-8606	0.47138888941657014	['NRP']	Xenorhabdus szentirmaii DSM 16338
LS-65	NODE_13_length_364673_cov_31.7	BGC0000357: 0-18536	0.4710455153540251	['NRP']	Penicillium rubens Wisconsin 54-1255
LS-65	NODE_13_length_364673_cov_31.7	BGC0000400: 0-52556	0.4567193232509079	['NRP']	Paenibacillus sp. OSY-SE
LS-65	NODE_13_length_364673_cov_31.7	BGC0000819: 0-47884	0.47787087132476846	['NRP', 'Alkaloid']	Penicillium fellutanum
LS-65	NODE_13_length_364673_cov_31.7	BGC0002286: 0-16374	0.4620227547592456	['NRP']	Photorhabdus laumondii subsp. laumondii TTO1
LS-65	NODE_13_length_364673_cov_31.7	BGC0000900: 2044-8911	0.46132020344314073	['Other']	Aspergillus oryzae
LS-65	NODE_13_length_364673_cov_31.7	BGC0002135: 0-11508	0.46132020344314073	['NRP']	Xenorhabdus bovienii SS-2004
LS-65	NODE_13_length_364673_cov_31.7	BGC0001833: 14964-30015	0.4609684222067722	['NRP']	Burkholderia gladioli
LS-65	NODE_13_length_364673_cov_31.7	BGC0001844: 234-20663	0.45991101259574035	['NRP']	Paraburkholderia rhizoxinica HKI 454
LS-65	NODE_13_length_364673_cov_31.7	BGC0001767: 114-29921	0.4886491495971209	['NRP']	Salinispora pacifica CNY331
