sample	contig	NCBItaxID	NCBIrank	NCBItaxName	nFrags	retainedFrags	taxassignedFrags	fractionAgreement	lineage
LS-55	NODE_2965_length_22558_cov_18.8	83786	genus	PALSA-986	10	8	5	0.71	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233;g_PALSA-986
LS-55	NODE_4952_length_16363_cov_22.1	24	class	Actinomycetia	12	10	8	0.78	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
LS-55	NODE_8333_length_11693_cov_24.0	183	order	Rhizobiales	10	10	8	0.75	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales
LS-93	NODE_94_length_91821_cov_26.5	71185	species	JABMQX01 sp013203085	67	62	33	0.58	d_Bacteria;p_JABMQX01;c_JABMQX01;o_JABMQX01;f_JABMQX01;g_JABMQX01;s_JABMQX01 sp013203085
LS-93	NODE_2607_length_20365_cov_1073.4	86140	species	20-14-0-80-47-9 sp002779555	19	19	12	0.65	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233;g_20-14-0-80-47-9;s_20-14-0-80-47-9 sp002779555
LS-93	NODE_6149_length_12571_cov_12.6	2	superkingdom	Bacteria	3	3	3	1.0	d_Bacteria
LS-93	NODE_10745_length_9170_cov_9.0	2	superkingdom	Bacteria	5	4	4	1.0	d_Bacteria
LS-93	NODE_18112_length_6707_cov_17.7	74007	species	Mycobacterium sp903911165	13	13	9	0.85	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Mycobacterium;s_Mycobacterium sp903911165
LS-93	NODE_32515_length_4649_cov_11.4	73010	species	RBG-16-66-30 sp014894455	4	4	2	0.5	d_Bacteria;p_Acidobacteriota;c_Aminicenantia;o_Aminicenantales;f_RBG-16-66-30;g_RBG-16-66-30;s_RBG-16-66-30 sp014894455
LS-93	NODE_56385_length_3313_cov_9.1	7083	family	Competibacteraceae	6	6	4	0.75	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Competibacterales;f_Competibacteraceae
LS-35	NODE_529_length_47577_cov_106.7	84697	genus	UBA9949	66	63	44	0.78	d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanoregulaceae;g_UBA9949
LS-35	NODE_2833_length_18771_cov_12.3	1454	class	Anaerolineae	12	11	7	0.6	d_Bacteria;p_Chloroflexota;c_Anaerolineae
LS-35	NODE_7512_length_11037_cov_13.9	2	superkingdom	Bacteria	8	7	7	1.0	d_Bacteria
LS-55	NODE_12292_length_9030_cov_22.2	33120	genus	RBG-16-49-23	8	7	6	0.83	d_Bacteria;p_Desulfobacterota;c_BSN033;o_BSN033;f_UBA1163;g_RBG-16-49-23
LS-55	NODE_18810_length_6800_cov_13.0	2	superkingdom	Bacteria	7	6	4	0.79	d_Bacteria
LS-55	NODE_30326_length_5020_cov_9.1	57420	species	JACWAE01 sp014874385	5	5	3	0.6	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_SZUA-161;f_SZUA-161;g_JACWAE01;s_JACWAE01 sp014874385
LS-55	NODE_56930_length_3384_cov_9.8	2	superkingdom	Bacteria	5	5	4	0.68	d_Bacteria
LS-93	NODE_284_length_62094_cov_23.6	2702	phylum	Planctomycetota	52	47	26	0.57	d_Bacteria;p_Planctomycetota
LS-67	NODE_26306_length_4968_cov_92.4	83344	phylum	Halobacteriota	6	6	3	0.59	d_Archaea;p_Halobacteriota
LS-67	NODE_43403_length_3652_cov_5.9	88168	species	PALSA-986 sp003151735	1	1	1	1.0	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233;g_PALSA-986;s_PALSA-986 sp003151735
LS-76	NODE_17_length_309912_cov_49.1	2	superkingdom	Bacteria	84	74	43	0.62	d_Bacteria
LS-76	NODE_586_length_37992_cov_21.3	64	family	Burkholderiaceae	51	49	37	0.71	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae
LS-76	NODE_2621_length_15120_cov_13.8	27	genus	Mycobacterium	23	22	14	0.66	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Mycobacterium
LS-35	NODE_16072_length_7330_cov_11.3	77	class	Alphaproteobacteria	5	5	3	0.6	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria
LS-35	NODE_25080_length_5764_cov_33.1	83603	genus	Methanoregula	8	7	7	1.0	d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanoregulaceae;g_Methanoregula
LS-35	NODE_33071_length_4961_cov_7.7	86290	species	JABXJT01 sp016840125	2	2	1	0.5	d_Archaea;p_Asgardarchaeota;c_Lokiarchaeia;o_Helarchaeales;f_HEL-GB-A;g_JABXJT01;s_JABXJT01 sp016840125
LS-35	NODE_44257_length_4234_cov_8.0	2	superkingdom	Bacteria	3	3	3	1.0	d_Bacteria
LS-35	NODE_58238_length_3643_cov_8.9	2	superkingdom	Bacteria	3	3	3	1.0	d_Bacteria
LS-35	NODE_77987_length_3101_cov_18.6	20158	family	RBG-16-60-22	7	7	5	0.99	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_Dehalococcoidales;f_RBG-16-60-22
LS-67	NODE_1669_length_25908_cov_11.3	59046	family	SM23-32	19	16	12	0.73	d_Bacteria;p_Planctomycetota;c_Brocadiae;o_SM23-32;f_SM23-32
LS-67	NODE_5910_length_12638_cov_78.8	83359	genus	Bog-38	21	21	19	0.94	d_Archaea;p_Halobacteriota;c_Bog-38;o_Bog-38;f_Bog-38;g_Bog-38
LS-67	NODE_14248_length_7303_cov_22.6	164	class	Bacteroidia	1	1	1	1.0	d_Bacteria;p_Bacteroidota;c_Bacteroidia
LS-67	NODE_25656_length_5048_cov_10.4	1454	class	Anaerolineae	5	5	3	0.6	d_Bacteria;p_Chloroflexota;c_Anaerolineae
LS-85	NODE_46811_length_3513_cov_12.2	3	phylum	Proteobacteria	5	4	3	0.68	d_Bacteria;p_Proteobacteria
LS-65	NODE_32_length_256315_cov_31.8	2	superkingdom	Bacteria	60	47	33	0.7	d_Bacteria
LS-65	NODE_464_length_60969_cov_18.3	2	superkingdom	Bacteria	34	30	27	0.92	d_Bacteria
LS-65	NODE_3725_length_18119_cov_44.7	2	superkingdom	Bacteria	7	5	4	0.68	d_Bacteria
LS-65	NODE_7613_length_11631_cov_11.3	20158	family	RBG-16-60-22	13	13	10	0.8	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_Dehalococcoidales;f_RBG-16-60-22
LS-65	NODE_16919_length_6977_cov_79.5	21333	genus	UBA1163	7	6	3	0.59	d_Bacteria;p_Desulfobacterota;c_BSN033;o_BSN033;f_UBA1163;g_UBA1163
LS-65	NODE_33273_length_4613_cov_32.7	46355	species	CAILUG01 sp903844415	1	1	1	1.0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudohongiellaceae;g_CAILUG01;s_CAILUG01 sp903844415
LS-65	NODE_61255_length_3181_cov_6.8	22071	genus	UBA5072	4	4	4	1.0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA10428;g_UBA5072
LS-63	NODE_1446_length_29070_cov_11.1	2	superkingdom	Bacteria	31	29	27	0.92	d_Bacteria
LS-63	NODE_6183_length_12668_cov_11.5	81254	species	SM23-32 sp001303885	13	11	7	0.6	d_Bacteria;p_Planctomycetota;c_Brocadiae;o_SM23-32;f_SM23-32;g_SM23-32;s_SM23-32 sp001303885
LS-63	NODE_11391_length_8801_cov_51.6	2	superkingdom	Bacteria	14	13	13	1.0	d_Bacteria
LS-63	NODE_24049_length_5573_cov_21.4	2	superkingdom	Bacteria	8	7	7	1.0	d_Bacteria
LS-63	NODE_42806_length_3934_cov_7.6	164	class	Bacteroidia	1	1	1	1.0	d_Bacteria;p_Bacteroidota;c_Bacteroidia
LS-55	NODE_36_length_266075_cov_29.1	7106	order	Aminicenantales	264	253	164	0.71	d_Bacteria;p_Acidobacteriota;c_Aminicenantia;o_Aminicenantales
LS-55	NODE_519_length_61949_cov_46.2	6494	family	SG8-4	45	43	30	0.74	d_Bacteria;p_Planctomycetota;c_Phycisphaerae;o_Sedimentisphaerales;f_SG8-4
LS-55	NODE_1994_length_29283_cov_46.2	6494	family	SG8-4	27	25	18	0.72	d_Bacteria;p_Planctomycetota;c_Phycisphaerae;o_Sedimentisphaerales;f_SG8-4
LS-55	NODE_3667_length_19798_cov_34.0	7083	family	Competibacteraceae	35	32	15	0.54	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Competibacterales;f_Competibacteraceae
LS-55	NODE_5922_length_14577_cov_41.1	80220	species	Rhodoplanes sp016793685	15	13	8	0.63	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Xanthobacteraceae;g_Rhodoplanes;s_Rhodoplanes sp016793685
LS-55	NODE_9890_length_10459_cov_13.1	4660	family	Thermoguttaceae	7	7	5	0.71	d_Bacteria;p_Planctomycetota;c_Planctomycetia;o_Pirellulales;f_Thermoguttaceae
LS-55	NODE_15547_length_7725_cov_10.8	1	no rank	root	3	3	3	1.0	-_root
LS-93	NODE_33554_length_4564_cov_10.8	183	order	Rhizobiales	6	6	4	0.6	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales
LS-93	NODE_57811_length_3263_cov_74.7	46355	species	CAILUG01 sp903844415	5	5	3	0.5	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudohongiellaceae;g_CAILUG01;s_CAILUG01 sp903844415
LS-35	NODE_687_length_42156_cov_108.9	84697	genus	UBA9949	57	55	43	0.81	d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanoregulaceae;g_UBA9949
LS-35	NODE_3521_length_16659_cov_71.7	83999	species	Bog-38 sp003170935	24	24	13	0.57	d_Archaea;p_Halobacteriota;c_Bog-38;o_Bog-38;f_Bog-38;g_Bog-38;s_Bog-38 sp003170935
LS-55	NODE_315_length_81145_cov_28.0	83785	family	UBA233	88	85	56	0.64	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233
LS-55	NODE_1754_length_31733_cov_35.0	4041	class	Koll11	22	20	10	0.53	d_Bacteria;p_Omnitrophota;c_Koll11
LS-55	NODE_3277_length_21252_cov_66.7	57183	species	PR03 sp018262315	24	23	13	0.66	d_Bacteria;p_Myxococcota A;c_UBA9160;o_UBA9160;f_PR03;g_PR03;s_PR03 sp018262315
LS-55	NODE_5302_length_15654_cov_51.3	83350	phylum	Thermoproteota	10	10	7	0.63	d_Archaea;p_Thermoproteota
LS-55	NODE_9306_length_10856_cov_13.1	2	superkingdom	Bacteria	9	9	6	0.63	d_Bacteria
LS-55	NODE_14328_length_8167_cov_9.7	3984	family	UBA1062	12	12	8	0.77	d_Bacteria;p_Desulfobacterota;c_Desulfomonilia;o_UBA1062;f_UBA1062
LS-67	NODE_520_length_44982_cov_14.8	1	no rank	root	14	12	12	1.0	-_root
LS-67	NODE_2934_length_19098_cov_9.7	4041	class	Koll11	17	17	9	0.6	d_Bacteria;p_Omnitrophota;c_Koll11
LS-67	NODE_8139_length_10359_cov_61.2	68304	species	DSXZ01 sp011367735	21	20	11	0.71	d_Bacteria;p_Desulfobacterota;c_DSM-4660;o_Desulfatiglandales;f_HGW-15;g_DSXZ01;s_DSXZ01 sp011367735
LS-67	NODE_19928_length_5903_cov_11.4	2	superkingdom	Bacteria	8	8	8	1.0	d_Bacteria
LS-67	NODE_31001_length_4487_cov_12.3	69314	species	JAAYEJ01 sp012728835	7	6	3	0.5	d_Bacteria;p_Planctomycetota;c_Brocadiae;o_SM23-32;f_SM23-32;g_JAAYEJ01;s_JAAYEJ01 sp012728835
LS-67	NODE_50082_length_3350_cov_30.0	2	superkingdom	Bacteria	5	3	2	0.97	d_Bacteria
LS-76	NODE_85_length_150461_cov_48.9	2	superkingdom	Bacteria	32	27	14	0.5	d_Bacteria
LS-76	NODE_1041_length_26581_cov_43.4	2	superkingdom	Bacteria	4	2	1	0.53	d_Bacteria
LS-76	NODE_3675_length_12216_cov_41.2	83999	species	Bog-38 sp003170935	21	21	12	0.54	d_Archaea;p_Halobacteriota;c_Bog-38;o_Bog-38;f_Bog-38;g_Bog-38;s_Bog-38 sp003170935
LS-76	NODE_11228_length_5956_cov_10.4	469	class	Cyanobacteriia	8	7	5	0.61	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia
LS-76	NODE_357_length_53699_cov_14.6	1203	class	Dehalococcoidia	61	54	35	0.73	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia
LS-76	NODE_2443_length_15746_cov_51.6	2	superkingdom	Bacteria	2	2	2	1.0	d_Bacteria
LS-76	NODE_7525_length_7707_cov_114.6	83999	species	Bog-38 sp003170935	13	13	7	0.5	d_Archaea;p_Halobacteriota;c_Bog-38;o_Bog-38;f_Bog-38;g_Bog-38;s_Bog-38 sp003170935
LS-76	NODE_17959_length_4453_cov_8.1	2	superkingdom	Bacteria	7	6	6	1.0	d_Bacteria
LS-85	NODE_153_length_86949_cov_25.7	86028	genus	JACIVX01	98	91	59	0.68	d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_JACIVX01;g_JACIVX01
LS-85	NODE_1837_length_23192_cov_13.1	2	superkingdom	Bacteria	23	21	20	0.95	d_Bacteria
LS-85	NODE_6511_length_11362_cov_16.5	24	class	Actinomycetia	10	9	6	0.61	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
LS-85	NODE_13444_length_7496_cov_43.2	83784	order	B26-1	6	6	5	0.8	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1
LS-85	NODE_26001_length_5044_cov_31.8	21332	family	UBA1163	9	8	5	0.82	d_Bacteria;p_Desulfobacterota;c_BSN033;o_BSN033;f_UBA1163
LS-35	NODE_1560_length_26721_cov_21.6	4041	class	Koll11	32	30	21	0.73	d_Bacteria;p_Omnitrophota;c_Koll11
LS-55	NODE_15_length_368449_cov_77.5	2	superkingdom	Bacteria	104	91	67	0.69	d_Bacteria
LS-55	NODE_223_length_99604_cov_79.4	2	superkingdom	Bacteria	32	27	21	0.69	d_Bacteria
LS-55	NODE_1709_length_32205_cov_8.6	28763	genus	UBA877	34	33	22	0.74	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Anaerolineales;f_EnvOPS12;g_UBA877
LS-55	NODE_3214_length_21499_cov_25.5	4041	class	Koll11	22	21	18	0.83	d_Bacteria;p_Omnitrophota;c_Koll11
LS-55	NODE_5187_length_15875_cov_143.5	21740	genus	RBG-16-66-30	15	15	10	0.66	d_Bacteria;p_Acidobacteriota;c_Aminicenantia;o_Aminicenantales;f_RBG-16-66-30;g_RBG-16-66-30
LS-55	NODE_8993_length_11119_cov_86.6	68304	species	DSXZ01 sp011367735	15	14	6	0.62	d_Bacteria;p_Desulfobacterota;c_DSM-4660;o_Desulfatiglandales;f_HGW-15;g_DSXZ01;s_DSXZ01 sp011367735
LS-55	NODE_14092_length_8261_cov_16.8	10640	genus	RBG-13-51-36	15	15	5	0.56	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_GIF9;f_AB-539-J10;g_RBG-13-51-36
LS-55	NODE_20885_length_6361_cov_9.5	7497	family	UBA6249	8	8	7	0.86	d_Bacteria;p_Omnitrophota;c_Koll11;o_GIF10;f_UBA6249
LS-55	NODE_40190_length_4197_cov_7.9	2704	order	Pirellulales	5	5	3	0.74	d_Bacteria;p_Planctomycetota;c_Planctomycetia;o_Pirellulales
LS-65	NODE_61703_length_3167_cov_7.2	1	no rank	root	3	3	3	1.0	-_root
LS-93	NODE_14850_length_7570_cov_20.8	1202	phylum	Chloroflexota	6	6	4	0.52	d_Bacteria;p_Chloroflexota
LS-93	NODE_25740_length_5373_cov_13.5	8970	genus	2-02-FULL-66-22	6	6	5	0.99	d_Bacteria;p_Methylomirabilota;c_Methylomirabilia;o_Methylomirabilales;f_2-02-FULL-66-22;g_2-02-FULL-66-22
LS-93	NODE_42638_length_3938_cov_8.1	35129	species	2-02-FULL-66-22 sp016209735	5	5	3	0.74	d_Bacteria;p_Methylomirabilota;c_Methylomirabilia;o_Methylomirabilales;f_2-02-FULL-66-22;g_2-02-FULL-66-22;s_2-02-FULL-66-22 sp016209735
LS-35	NODE_4_length_265159_cov_16.6	20597	order	SM23-42	251	223	106	0.54	d_Bacteria;p_WOR-3;c_WOR-3;o_SM23-42
LS-35	NODE_1414_length_28153_cov_198.4	1	no rank	root	9	7	7	1.0	-_root
LS-35	NODE_4938_length_13786_cov_8.0	2	superkingdom	Bacteria	7	7	7	1.0	d_Bacteria
LS-35	NODE_9370_length_9808_cov_7.8	37	class	Clostridia	3	2	1	0.5	d_Bacteria;p_Firmicutes A;c_Clostridia
LS-35	NODE_14012_length_7886_cov_8.9	22071	genus	UBA5072	9	9	6	0.67	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA10428;g_UBA5072
LS-35	NODE_22792_length_6076_cov_7.6	2	superkingdom	Bacteria	3	3	3	1.0	d_Bacteria
LS-35	NODE_29931_length_5228_cov_16.2	46	order	Burkholderiales	6	5	4	0.8	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales
LS-65	NODE_42553_length_3970_cov_11.3	14604	genus	UBA9647	5	4	2	0.5	d_Bacteria;p_Bacteroidota;c_UBA10030;o_UBA10030;f_UBA10030;g_UBA9647
LS-63	NODE_17_length_161038_cov_42.6	73862	genus	JAFGKK01	154	146	92	0.69	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Anaerolineales;f_RBG-16-64-43;g_JAFGKK01
LS-63	NODE_2542_length_21345_cov_16.4	2	superkingdom	Bacteria	18	18	18	1.0	d_Bacteria
LS-63	NODE_9692_length_9694_cov_16.0	4496	genus	LD21	9	8	7	0.88	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_VadinHA17;g_LD21
LS-63	NODE_21256_length_6008_cov_33.4	83785	family	UBA233	7	7	7	1.0	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233
LS-63	NODE_38164_length_4214_cov_10.9	57420	species	JACWAE01 sp014874385	3	3	2	0.67	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_SZUA-161;f_SZUA-161;g_JACWAE01;s_JACWAE01 sp014874385
LS-55	NODE_17_length_352434_cov_78.6	2	superkingdom	Bacteria	86	71	48	0.65	d_Bacteria
LS-85	NODE_29969_length_4612_cov_30.0	183	order	Rhizobiales	4	4	3	0.52	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales
LS-85	NODE_50645_length_3344_cov_11.3	18408	genus	Hyphomicrobium	3	3	2	0.96	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Hyphomicrobiaceae;g_Hyphomicrobium
LS-65	NODE_42_length_227245_cov_32.2	2	superkingdom	Bacteria	72	67	48	0.66	d_Bacteria
LS-35	NODE_12385_length_8432_cov_11.3	66911	species	UBA2185 sp017885225	11	10	7	0.71	d_Bacteria;p_Desulfobacterota;c_Syntrophia;o_Syntrophales;f_UBA2185;g_UBA2185;s_UBA2185 sp017885225
LS-35	NODE_17664_length_6957_cov_57.7	21333	genus	UBA1163	13	10	6	0.74	d_Bacteria;p_Desulfobacterota;c_BSN033;o_BSN033;f_UBA1163;g_UBA1163
LS-35	NODE_25845_length_5664_cov_13.3	31617	genus	RBG-16-64-13	7	7	6	0.83	d_Bacteria;p_Actinobacteriota;c_Thermoleophilia;o_RBG-16-64-13;f_RBG-16-64-13;g_RBG-16-64-13
LS-35	NODE_33835_length_4897_cov_23.6	68304	species	DSXZ01 sp011367735	11	11	7	0.71	d_Bacteria;p_Desulfobacterota;c_DSM-4660;o_Desulfatiglandales;f_HGW-15;g_DSXZ01;s_DSXZ01 sp011367735
LS-35	NODE_46935_length_4100_cov_15.5	1	no rank	root	5	5	5	1.0	-_root
LS-35	NODE_60975_length_3553_cov_32.8	88110	species	SG8-32-3 sp007050895	2	2	1	0.5	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233;g_SG8-32-3;s_SG8-32-3 sp007050895
LS-67	NODE_111_length_85772_cov_25.8	83785	family	UBA233	80	76	53	0.77	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233
LS-67	NODE_2192_length_22586_cov_14.5	45522	species	E44-bin88 sp004375675	26	25	15	0.65	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_Dehalococcoidales;f_E44-bin88;g_E44-bin88;s_E44-bin88 sp004375675
LS-67	NODE_6611_length_11829_cov_9.2	83658	family	DHVEG-1	12	10	6	0.6	d_Archaea;p_Thermoplasmatota;c_E2;o_DHVEG-1;f_DHVEG-1
